Keyword,isFound
T1557.002,No
T1558.004,No
T1548,No
T1134,No
T1546.008,No
T1531,No
T1087,No
T1098,No
T1547.014,No
T1137.006,No
T1546.009,No
T1546.010,No
T1499.003,No
T1071,No
T1546.011,No
T1010,No
T1499.004,No
T1560,No
T1560.003,No
T1560.002,No
T1560.001,No
T1573.002,No
T1055.004,No
T1053.002,No
T1123,No
T1547.002,No
T1119,No
T1020,No
T1197,No
T1102.002,No
T1027.001,No
T1547,No
T1037,No
T1542.003,No
T1217,No
T1176,No
T1110,No
T1548.002,No
T1218.003,No
T1574.012,No
T1003.005,No
T1546.001,No
T1070.003,No
T1070.001,No
T1115,No
T1553.002,No
T1553.006,No
T1059,No
T1043,No
T1092,No
T1027.004,No
T1218.001,No
T1542.002,No
T1559.001,No
T1546.015,No
T1175,No
T1554,No
T1195.003,No
T1195.001,No
T1195.002,No
T1218.002,No
T1136,No
T1134.002,No
T1543,No
T1056.004,No
T1110.004,No
T1552.001,No
T1555,No
T1555.003,No
T1552.002,No
T1003.006,No
T1574.001,No
T1574.002,No
T1071.004,No
T1568.003,No
T1485,No
T1132,No
T1486,No
T1565,No
T1001,No
T1074,No
T1030,No
T1213,No
T1005,No
T1039,No
T1025,No
T1102.001,No
T1491,No
T1078.001,No
T1140,No
T1498.001,No
T1006,No
T1562.002,No
T1562.004,No
T1562.001,No
T1561.001,No
T1561.002,No
T1561,No
T1021.003,No
T1136.002,No
T1087.002,No
T1078.002,No
T1556.001,No
T1090.004,No
T1568.002,No
T1069.002,No
T1484,No
T1482,No
T1484.002,No
T1189,No
T1559.002,No
T1568,No
T1055.001,No
T1087.003,No
T1114,No
T1114.003,No
T1573,No
T1499,No
T1480.001,No
T1611,No
T1546,No
T1098.002,No
T1574.005,No
T1480,No
T1048,No
T1048.002,No
T1011.001,No
T1041,No
T1011,No
T1052,No
T1048.001,No
T1048.003,No
T1567,No
T1052.001,No
T1567.002,No
T1567.001,No
T1190,No
T1203,No
T1212,No
T1211,No
T1068,No
T1210,No
T1491.002,No
T1090.002,No
T1133,No
T1055.011,No
T1008,No
T1568.001,No
T1070.004,No
T1071.002,No
T1083,No
T1222,No
T1495,No
T1187,No
T1606,No
T1056.002,No
T1558.001,No
T1061,No
T1484.001,No
T1552.006,No
T1200,No
T1564.005,No
T1564.001,No
T1564.003,No
T1564,No
T1574,No
T1062,No
T1546.012,No
T1562.003,No
T1562,No
T1562.006,No
T1027.005,No
T1070,No
T1202,No
T1105,No
T1490,No
T1056,No
T1553.004,No
T1218.004,No
T1559,No
T1491.001,No
T1090.001,No
T1534,No
T1016.001,No
T1036.001,No
T1059.007,No
T1001.001,No
T1558.003,No
T1056.001,No
T1557.001,No
T1003.004,No
T1547.008,No
T1003.001,No
T1570,No
T1136.001,No
T1087.001,No
T1078.003,No
T1074.001,No
T1114.001,No
T1069.001,No
T1037.001,No
T1127.001,Found
T1071.003,No
T1134.003,No
T1204.002,No
T1204.001,No
T1185,No
T1557,No
T1553.005,No
T1036.004,No
T1036,No
T1036.005,No
T1556,No
T1112,No
T1218.005,No
T1218.007,No
T1104,No
T1090.003,No
T1026,No
T1003.003,No
T1564.004,No
T1106,No
T1546.007,No
T1498,No
T1037.003,No
T1046,No
T1070.005,No
T1135,No
T1040,No
T1095,No
T1132.002,No
T1571,No
T1003,No
T1499.001,No
T1027,No
T1218.008,No
T1137,No
T1137.001,No
T1137.002,No
T1102.003,No
T1137.003,No
T1137.004,No
T1137.005,No
T1134.004,No
T1550.002,No
T1550.003,No
T1110.002,No
T1556.002,No
T1110.001,No
T1555.005,No
T1201,No
T1110.003,No
T1034,No
T1574.007,No
T1574.008,No
T1574.009,No
T1120,No
T1069,No
T1566,No
T1205.001,No
T1547.010,No
T1055.002,No
T1059.001,No
T1546.013,No
T1542,No
T1547.012,No
T1552.004,No
T1057,No
T1055.013,No
T1055.012,No
T1055,No
T1001.003,No
T1572,No
T1090,No
T1216.001,No
T1059.006,No
T1012,No
T1563.002,No
T1108,No
T1498.002,No
T1547.001,No
T1218.009,No
T1218.010,No
T1219,No
T1074.002,No
T1021.001,No
T1114.002,No
T1563,No
T1021,No
T1018,No
T1036.003,No
T1091,No
T1496,No
T1036.002,No
T1207,No
T1014,No
T1564.006,No
T1218.011,No
T1565.003,No
T1606.002,No
T1134.005,No
T1553.003,No
T1021.002,No
T1505.001,No
T1053.005,No
T1053,No
T1029,No
T1113,No
T1546.002,No
T1064,No
T1003.002,No
T1518.001,No
T1547.005,No
T1505,No
T1569.002,No
T1499.002,No
T1489,No
T1574.010,No
T1574.011,No
T1129,No
T1051,No
T1213.002,No
T1547.009,No
T1218,No
T1216,No
T1558.002,No
T1072,No
T1518,No
T1027.002,No
T1566.001,No
T1566.002,No
T1566.003,No
T1132.001,No
T1539,No
T1558,No
T1027.003,No
T1001.002,No
T1565.001,No
T1553,No
T1195,No
T1573.001,No
T1497.001,No
T1542.001,No
T1082,No
T1614,No
T1016,No
T1049,No
T1033,No
T1007,No
T1569,No
T1529,No
T1124,No
T1080,No
T1221,No
T1055.003,No
T1055.005,No
T1497.003,No
T1547.003,No
T1070.006,No
T1134.001,No
T1205,No
T1565.002,Found
T1505.002,Found
T1127,Found
T1199,Found
T1111,No
T1552,No
T1550,No
T1497.002,No
T1204,No
T1564.007,No
T1021.005,No
T1078,No
T1218.012,No
T1125,No
T1497,No
T1059.005,No
T1606.001,No
T1056.003,No
T1071.001,No
T1102,No
T1505.003,No
T1059.003,No
T1555.004,No
T1222.001,No
T1047,No
T1546.003,No
T1021.006,No
T1543.003,No
T1547.004,No
T1220,No
Total Keywords,Keywords Found,Percentage
391,5,1.28
